event_id,device_id,test_session_id,event_timestamp,event_type,firmware_version,carrier,network_type,cell_id,rsrp,rsrq,sinr,latency_ms,jitter_ms,packet_loss_pct,download_throughput_mbps,upload_throughput_mbps,registration_time_ms,handover_status,status,battery_level,cpu_usage,memory_usage,app_name,severity,error_code,region
aef0d8fc-6760-4839-bca3-dc48212de6ff,DVC-013,TS-1063,2026-06-01 14:17:48.260786,MODEM_RESET,S24_U1_6.1,Verizon,NTN,CELL_119,-88.3,-8.9,21.5,162.4,19.3,2.81,71.9,19.1,1389.6,SUCCESS,FAIL,41,80,18,Settings,HIGH,ERR-954,US-West
c279fe01-0dfb-4c00-99ee-0a57a565bb2b,DVC-001,TS-1018,2026-05-31 13:16:48.260786,HANDOVER_SUCCESS,S24_U2_6.1,AT&T,LTE,CELL_106,-90.3,-7.7,7.5,43.2,14.8,1.22,154.3,62.8,1882.5,SUCCESS,WARN,47,85,44,Camera,HIGH,ERR-245,US-East
8d1731c2-b5cf-4b46-ae89-da2d9abb6daa,DVC-047,TS-1092,2026-05-18 17:24:48.260786,MODEM_RESET,S23_U5_6.0,T-Mobile,NTN,CELL_101,-102.6,-4.7,20.4,102.5,15.0,1.52,62.1,15.9,847.3,SUCCESS,FAIL,37,44,54,Phone,CRITICAL,ERR-698,US-Central
c716ecfe-9b5b-45e5-a5e2-5db4009b4718,DVC-035,TS-1051,2026-05-22 13:13:48.260786,5G_REGISTRATION_SUCCESS,S23_U5_6.0,AT&T,5G,CELL_110,-103.7,-11.3,16.5,84.8,6.6,1.11,165.6,53.5,496.7,SUCCESS,PASS,97,78,62,Phone,LOW,ERR-590,US-West
79e11313-4d75-4fa3-a783-1e958e78dac7,DVC-036,TS-1073,2026-05-31 14:20:48.260786,HANDOVER_SUCCESS,S24_U1_6.1,T-Mobile,NTN,CELL_116,-138.9,-7.4,24.9,109.9,7.5,1.68,295.1,49.9,387.0,SUCCESS,WARN,57,89,82,Messages,HIGH,ERR-187,US-East
92471f0d-cd32-442a-b0f7-a05af314e67a,DVC-028,TS-1100,2026-06-06 11:53:48.260786,5G_REGISTRATION_SUCCESS,S24_U2_6.1,Verizon,5G,CELL_108,-88.4,-9.4,1.8,61.9,1.0,1.13,271.4,43.7,888.5,SUCCESS,WARN,55,79,44,Samsung Health,HIGH,ERR-547,US-East
aec0a23d-496b-49bb-aef5-6b287228255a,DVC-018,TS-1001,2026-05-23 13:21:48.260786,HANDOVER_SUCCESS,S24_U2_6.1,Verizon,NTN,CELL_111,-108.1,-11.6,14.9,226.1,12.7,2.06,300.8,106.1,1502.7,SUCCESS,FAIL,20,36,37,Camera,HIGH,ERR-162,US-Central
2a036be9-4941-435c-b607-fffd28967395,DVC-002,TS-1015,2026-05-26 12:25:48.260786,DEVICE_BOOT,S24_U2_6.1,T-Mobile,5G,CELL_104,-76.6,-10.4,-4.4,22.9,9.5,0.75,176.3,11.1,1064.4,SUCCESS,WARN,71,10,12,Samsung Health,HIGH,ERR-976,US-East
53d127a4-cfa1-4eb0-971a-da7e6aebb331,DVC-006,TS-1001,2026-05-23 12:22:48.260786,HANDOVER_SUCCESS,S23_U5_6.0,T-Mobile,NTN,CELL_111,-86.0,-7.3,28.5,147.4,3.7,0.31,196.5,13.1,1147.8,SUCCESS,PASS,58,79,20,Samsung Health,LOW,ERR-535,US-East
66f162c9-eecd-4cf7-852c-b256ba24b9ea,DVC-031,TS-1011,2026-05-19 13:08:48.260786,MODEM_RESET,S23_U5_6.0,AT&T,LTE,CELL_120,-111.6,-5.1,11.9,163.5,33.9,0.71,17.7,22.3,1383.8,SUCCESS,FAIL,91,57,43,Phone,CRITICAL,ERR-613,US-East
11531184-b923-48ae-9715-7d6407a5a565,DVC-010,TS-1056,2026-05-18 14:47:48.260786,MODEM_RESET,S24_U1_6.1,AT&T,LTE,CELL_102,-96.4,-4.2,24.6,140.7,17.8,1.96,66.3,21.9,574.2,SUCCESS,FAIL,32,17,80,Messages,CRITICAL,ERR-373,US-West
