event_id,device_id,test_session_id,event_timestamp,event_type,firmware_version,carrier,network_type,cell_id,rsrp,rsrq,sinr,latency_ms,jitter_ms,packet_loss_pct,download_throughput_mbps,upload_throughput_mbps,registration_time_ms,handover_status,status,battery_level,cpu_usage,memory_usage,app_name,severity,error_code,region
82353ea1-4334-4dab-99fd-d17fa4b2a0aa,DVC-034,TS-1057,2026-06-09 12:43:48.314149,NETWORK_LOST,S24_U2_6.1,T-Mobile,LTE,CELL_111,-107.4,-8.4,7.7,202.4,50.2,5.37,34.1,14.5,484.3,SUCCESS,FAIL,73,30,50,Settings,HIGH,ERR-755,US-East
7472e380-e408-4091-9f11-5dcc07595222,DVC-030,TS-1059,2026-06-01 13:41:48.314149,LTE_ATTACH_SUCCESS,S24_U2_6.1,Verizon,LTE,CELL_107,-119.6,-8.7,6.4,244.0,45.8,3.2,22.4,14.5,1150.8,SUCCESS,FAIL,94,12,90,Settings,HIGH,ERR-945,US-Central
71b7ba2d-eca5-489f-97a0-39d5a3661789,DVC-017,TS-1062,2026-06-02 14:46:48.314149,NETWORK_LOST,S24_U1_6.1,AT&T,5G,CELL_120,-105.6,-8.5,7.9,224.9,18.0,2.87,7.5,4.3,1755.0,SUCCESS,FAIL,29,60,89,Phone,CRITICAL,ERR-228,US-Central
7729b08c-e722-4180-ae6b-5e61a184bd1b,DVC-028,TS-1083,2026-06-01 11:33:48.314149,5G_REGISTRATION_SUCCESS,S24_U1_6.1,T-Mobile,5G,CELL_103,-104.2,-10.2,8.4,196.1,22.5,6.27,71.9,13.8,1681.0,SUCCESS,FAIL,69,20,77,Messages,HIGH,ERR-282,US-East
34e495a1-92f4-4fbc-a92f-daf8f84a3353,DVC-006,TS-1035,2026-05-20 12:38:48.314149,HANDOVER_FAILURE,S24_U2_6.1,T-Mobile,LTE,CELL_104,-106.6,-4.8,4.1,175.7,23.9,3.22,79.3,7.5,1310.9,FAILED,FAIL,24,58,16,Settings,CRITICAL,ERR-162,US-East
17be6125-be93-4f66-876e-7d997a2c3100,DVC-028,TS-1058,2026-06-02 16:40:48.314149,HANDOVER_FAILURE,S24_U1_6.1,T-Mobile,LTE,CELL_112,-112.9,-14.1,4.3,206.9,57.6,5.43,6.6,2.8,1896.0,FAILED,FAIL,70,44,69,Settings,HIGH,ERR-857,US-East
2825b9c8-3a5f-4917-80ed-98fcf5a741c6,DVC-022,TS-1095,2026-06-11 15:35:48.314149,CALL_DROP,S24_U2_6.1,AT&T,5G,CELL_117,-113.2,-13.4,7.4,131.6,58.9,7.0,61.6,13.2,1132.8,SUCCESS,FAIL,56,79,61,Phone,HIGH,ERR-266,US-West
81484a93-ef0e-4c22-996d-6d859b638558,DVC-014,TS-1037,2026-05-27 16:00:48.314149,NETWORK_LOST,S23_U5_6.0,T-Mobile,LTE,CELL_103,-122.0,-9.5,3.4,253.4,37.7,4.36,37.4,4.4,100.0,SUCCESS,FAIL,74,36,77,Messages,CRITICAL,ERR-449,US-East
36d954ae-8936-46c4-aa5e-7051f969f4bf,DVC-006,TS-1068,2026-05-24 13:19:48.314149,5G_REGISTRATION_SUCCESS,S23_U5_6.0,Verizon,5G,CELL_117,-105.7,-12.3,9.0,224.8,28.8,7.63,67.9,11.8,1699.3,SUCCESS,FAIL,74,20,23,Messages,HIGH,ERR-890,US-East
7b78bcfb-9126-4e33-a64e-a0920cdce381,DVC-024,TS-1054,2026-06-09 14:10:48.314149,HANDOVER_FAILURE,S24_U1_6.1,AT&T,5G,CELL_112,-114.7,-12.1,3.0,199.1,55.8,7.81,68.5,15.8,1412.4,FAILED,FAIL,36,20,52,Messages,CRITICAL,ERR-528,US-East
